month,product,current_stock,safety_stock,reorder_point,max_stock,lead_time_days,days_until_stockout,reorder_triggered,status
2024-12,Paracetamol_500mg,21337,8000,15000,60000,7,17,True,OK
2022-01,Amoxicillin_250mg,903,2500,5000,20000,10,2,False,CRITICAL
2022-02,Amoxicillin_250mg,7148,2500,5000,20000,10,17,True,OK
2022-03,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2022-04,Amoxicillin_250mg,8191,2500,5000,20000,10,20,True,OK
2022-05,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2022-06,Amoxicillin_250mg,9627,2500,5000,20000,10,24,True,OK
2022-07,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2022-08,Amoxicillin_250mg,9284,2500,5000,20000,10,23,True,OK
2022-09,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2022-10,Amoxicillin_250mg,9134,2500,5000,20000,10,22,True,OK
2022-11,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2022-12,Amoxicillin_250mg,9670,2500,5000,20000,10,24,True,OK
2023-01,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2023-02,Amoxicillin_250mg,7670,2500,5000,20000,10,19,True,OK
2023-03,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2023-04,Amoxicillin_250mg,6580,2500,5000,20000,10,16,True,OK
2023-05,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2023-06,Amoxicillin_250mg,6270,2500,5000,20000,10,15,True,OK
2023-07,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2023-08,Amoxicillin_250mg,9139,2500,5000,20000,10,22,True,OK
2023-09,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2023-10,Amoxicillin_250mg,7051,2500,5000,20000,10,17,True,OK
2023-11,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2023-12,Amoxicillin_250mg,6698,2500,5000,20000,10,16,True,OK
2024-01,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2024-02,Amoxicillin_250mg,8796,2500,5000,20000,10,21,True,OK
2024-03,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2024-04,Amoxicillin_250mg,9040,2500,5000,20000,10,22,True,OK
2024-05,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2024-06,Amoxicillin_250mg,6496,2500,5000,20000,10,16,True,OK
2024-07,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2024-08,Amoxicillin_250mg,8261,2500,5000,20000,10,20,True,OK
2024-09,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2024-10,Amoxicillin_250mg,6564,2500,5000,20000,10,16,True,OK
2024-11,Amoxicillin_250mg,0,2500,5000,20000,10,0,False,CRITICAL
2024-12,Amoxicillin_250mg,7087,2500,5000,20000,10,17,True,OK
2022-01,Metformin_500mg,610,5000,10000,40000,7,0,False,CRITICAL
2022-02,Metformin_500mg,13932,5000,10000,40000,7,17,True,OK
2022-03,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2022-04,Metformin_500mg,14507,5000,10000,40000,7,18,True,OK
2022-05,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2022-06,Metformin_500mg,16706,5000,10000,40000,7,20,True,OK
2022-07,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2022-08,Metformin_500mg,17074,5000,10000,40000,7,21,True,OK
2022-09,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2022-10,Metformin_500mg,15442,5000,10000,40000,7,19,True,OK
2022-11,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2022-12,Metformin_500mg,19348,5000,10000,40000,7,24,True,OK
2023-01,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2023-02,Metformin_500mg,14396,5000,10000,40000,7,17,True,OK
2023-03,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2023-04,Metformin_500mg,12898,5000,10000,40000,7,16,True,OK
2023-05,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2023-06,Metformin_500mg,15853,5000,10000,40000,7,19,True,OK
2023-07,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2023-08,Metformin_500mg,15674,5000,10000,40000,7,19,True,OK
2023-09,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2023-10,Metformin_500mg,13151,5000,10000,40000,7,16,True,OK
2023-11,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2023-12,Metformin_500mg,18194,5000,10000,40000,7,22,True,OK
2024-01,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2024-02,Metformin_500mg,17208,5000,10000,40000,7,21,True,OK
2024-03,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2024-04,Metformin_500mg,18158,5000,10000,40000,7,22,True,OK
2024-05,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2024-06,Metformin_500mg,13532,5000,10000,40000,7,16,True,OK
2024-07,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2024-08,Metformin_500mg,17550,5000,10000,40000,7,21,True,OK
2024-09,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2024-10,Metformin_500mg,16870,5000,10000,40000,7,21,True,OK
2024-11,Metformin_500mg,0,5000,10000,40000,7,0,False,CRITICAL
2024-12,Metformin_500mg,17556,5000,10000,40000,7,21,True,OK
2022-01,Atorvastatin_20mg,5055,3500,7500,30000,10,8,False,REORDER
2022-02,Atorvastatin_20mg,14144,3500,7500,30000,10,23,True,OK
2022-03,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2022-04,Atorvastatin_20mg,11496,3500,7500,30000,10,19,True,OK
2022-05,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2022-06,Atorvastatin_20mg,12749,3500,7500,30000,10,21,True,OK
2022-07,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2022-08,Atorvastatin_20mg,12408,3500,7500,30000,10,20,True,OK
2022-09,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2022-10,Atorvastatin_20mg,12011,3500,7500,30000,10,20,True,OK
2022-11,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2022-12,Atorvastatin_20mg,10647,3500,7500,30000,10,17,True,OK
2023-01,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2023-02,Atorvastatin_20mg,14216,3500,7500,30000,10,23,True,OK
2023-03,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2023-04,Atorvastatin_20mg,12070,3500,7500,30000,10,20,True,OK
2023-05,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2023-06,Atorvastatin_20mg,9752,3500,7500,30000,10,16,True,OK
2023-07,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2023-08,Atorvastatin_20mg,11479,3500,7500,30000,10,19,True,OK
2023-09,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2023-10,Atorvastatin_20mg,9399,3500,7500,30000,10,15,True,OK
2023-11,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2023-12,Atorvastatin_20mg,9776,3500,7500,30000,10,16,True,OK
2024-01,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2024-02,Atorvastatin_20mg,10528,3500,7500,30000,10,17,True,OK
2024-03,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2024-04,Atorvastatin_20mg,13572,3500,7500,30000,10,22,True,OK
2024-05,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2024-06,Atorvastatin_20mg,14595,3500,7500,30000,10,24,True,OK
2024-07,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2024-08,Atorvastatin_20mg,13893,3500,7500,30000,10,23,True,OK
2024-09,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2024-10,Atorvastatin_20mg,13210,3500,7500,30000,10,22,True,OK
2024-11,Atorvastatin_20mg,0,3500,7500,30000,10,0,False,CRITICAL
2024-12,Atorvastatin_20mg,13529,3500,7500,30000,10,22,True,OK
2022-01,Insulin_Glargine,984,1000,2000,8000,14,6,False,CRITICAL
2022-02,Insulin_Glargine,3705,1000,2000,8000,14,24,True,OK
2022-03,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2022-04,Insulin_Glargine,4153,1000,2000,8000,14,27,True,OK
2022-05,Insulin_Glargine,241,1000,2000,8000,14,1,False,CRITICAL
2022-06,Insulin_Glargine,4040,1000,2000,8000,14,26,True,OK
2022-07,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2022-08,Insulin_Glargine,3075,1000,2000,8000,14,20,True,OK
2022-09,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2022-10,Insulin_Glargine,3844,1000,2000,8000,14,25,True,OK
2022-11,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2022-12,Insulin_Glargine,3137,1000,2000,8000,14,20,True,OK
2023-01,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2023-02,Insulin_Glargine,3622,1000,2000,8000,14,24,True,OK
2023-03,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2023-04,Insulin_Glargine,3992,1000,2000,8000,14,26,True,OK
2023-05,Insulin_Glargine,132,1000,2000,8000,14,0,False,CRITICAL
2023-06,Insulin_Glargine,3968,1000,2000,8000,14,26,True,OK
2023-07,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2023-08,Insulin_Glargine,4075,1000,2000,8000,14,27,True,OK
2023-09,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2023-10,Insulin_Glargine,3718,1000,2000,8000,14,24,True,OK
2023-11,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2023-12,Insulin_Glargine,3916,1000,2000,8000,14,26,True,OK
2024-01,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2024-02,Insulin_Glargine,4148,1000,2000,8000,14,27,True,OK
2024-03,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2024-04,Insulin_Glargine,3656,1000,2000,8000,14,24,True,OK
2024-05,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2024-06,Insulin_Glargine,3380,1000,2000,8000,14,22,True,OK
2024-07,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2024-08,Insulin_Glargine,3031,1000,2000,8000,14,20,True,OK
2024-09,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2024-10,Insulin_Glargine,3064,1000,2000,8000,14,20,True,OK
2024-11,Insulin_Glargine,0,1000,2000,8000,14,0,False,CRITICAL
2024-12,Insulin_Glargine,2845,1000,2000,8000,14,18,True,OK
2022-01,Ibuprofen_400mg,2309,6000,12000,45000,7,2,False,CRITICAL
2022-02,Ibuprofen_400mg,14225,6000,12000,45000,7,15,True,OK
2022-03,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2022-04,Ibuprofen_400mg,18213,6000,12000,45000,7,20,True,OK
2022-05,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2022-06,Ibuprofen_400mg,14919,6000,12000,45000,7,16,True,OK
2022-07,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2022-08,Ibuprofen_400mg,19421,6000,12000,45000,7,21,True,OK
2022-09,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2022-10,Ibuprofen_400mg,20343,6000,12000,45000,7,22,True,OK
2022-11,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2022-12,Ibuprofen_400mg,20593,6000,12000,45000,7,22,True,OK
2023-01,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2023-02,Ibuprofen_400mg,14505,6000,12000,45000,7,16,True,OK
2023-03,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2023-04,Ibuprofen_400mg,16927,6000,12000,45000,7,18,True,OK
2023-05,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2023-06,Ibuprofen_400mg,21072,6000,12000,45000,7,23,True,OK
2023-07,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2023-08,Ibuprofen_400mg,17489,6000,12000,45000,7,19,True,OK
2023-09,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2023-10,Ibuprofen_400mg,15564,6000,12000,45000,7,17,True,OK
2023-11,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2023-12,Ibuprofen_400mg,20310,6000,12000,45000,7,22,True,OK
2024-01,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2024-02,Ibuprofen_400mg,18365,6000,12000,45000,7,20,True,OK
2024-03,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2024-04,Ibuprofen_400mg,19769,6000,12000,45000,7,21,True,OK
2024-05,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2024-06,Ibuprofen_400mg,17666,6000,12000,45000,7,19,True,OK
2024-07,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2024-08,Ibuprofen_400mg,18880,6000,12000,45000,7,20,True,OK
2024-09,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2024-10,Ibuprofen_400mg,14201,6000,12000,45000,7,15,True,OK
2024-11,Ibuprofen_400mg,0,6000,12000,45000,7,0,False,CRITICAL
2024-12,Ibuprofen_400mg,16224,6000,12000,45000,7,18,True,OK
2022-01,Omeprazole_20mg,2217,3000,6000,25000,7,4,False,CRITICAL
2022-02,Omeprazole_20mg,7864,3000,6000,25000,7,15,True,OK
2022-03,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2022-04,Omeprazole_20mg,8222,3000,6000,25000,7,16,True,OK
2022-05,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2022-06,Omeprazole_20mg,8941,3000,6000,25000,7,17,True,OK
2022-07,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2022-08,Omeprazole_20mg,10884,3000,6000,25000,7,21,True,OK
2022-09,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2022-10,Omeprazole_20mg,10914,3000,6000,25000,7,21,True,OK
2022-11,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2022-12,Omeprazole_20mg,11127,3000,6000,25000,7,22,True,OK
2023-01,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2023-02,Omeprazole_20mg,11752,3000,6000,25000,7,23,True,OK
2023-03,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2023-04,Omeprazole_20mg,9537,3000,6000,25000,7,19,True,OK
2023-05,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2023-06,Omeprazole_20mg,9810,3000,6000,25000,7,19,True,OK
2023-07,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2023-08,Omeprazole_20mg,10794,3000,6000,25000,7,21,True,OK
2023-09,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2023-10,Omeprazole_20mg,11965,3000,6000,25000,7,23,True,OK
2023-11,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2023-12,Omeprazole_20mg,12108,3000,6000,25000,7,24,True,OK
2024-01,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2024-02,Omeprazole_20mg,10579,3000,6000,25000,7,21,True,OK
2024-03,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2024-04,Omeprazole_20mg,10646,3000,6000,25000,7,21,True,OK
2024-05,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2024-06,Omeprazole_20mg,8968,3000,6000,25000,7,17,True,OK
2024-07,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2024-08,Omeprazole_20mg,11737,3000,6000,25000,7,23,True,OK
2024-09,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2024-10,Omeprazole_20mg,10990,3000,6000,25000,7,21,True,OK
2024-11,Omeprazole_20mg,0,3000,6000,25000,7,0,False,CRITICAL
2024-12,Omeprazole_20mg,10383,3000,6000,25000,7,20,True,OK
2022-01,Azithromycin_500mg,1119,1200,2500,10000,10,5,False,CRITICAL
2022-02,Azithromycin_500mg,4059,1200,2500,10000,10,20,True,OK
2022-03,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2022-04,Azithromycin_500mg,4344,1200,2500,10000,10,21,True,OK
2022-05,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2022-06,Azithromycin_500mg,4791,1200,2500,10000,10,23,True,OK
2022-07,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2022-08,Azithromycin_500mg,3877,1200,2500,10000,10,19,True,OK
2022-09,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2022-10,Azithromycin_500mg,3630,1200,2500,10000,10,18,True,OK
2022-11,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2022-12,Azithromycin_500mg,4055,1200,2500,10000,10,20,True,OK
2023-01,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2023-02,Azithromycin_500mg,3754,1200,2500,10000,10,18,True,OK
2023-03,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2023-04,Azithromycin_500mg,4379,1200,2500,10000,10,21,True,OK
2023-05,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2023-06,Azithromycin_500mg,4618,1200,2500,10000,10,23,True,OK
2023-07,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2023-08,Azithromycin_500mg,3328,1200,2500,10000,10,16,True,OK
2023-09,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2023-10,Azithromycin_500mg,4594,1200,2500,10000,10,22,True,OK
2023-11,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2023-12,Azithromycin_500mg,3401,1200,2500,10000,10,17,True,OK
2024-01,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2024-02,Azithromycin_500mg,3807,1200,2500,10000,10,19,True,OK
2024-03,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2024-04,Azithromycin_500mg,4872,1200,2500,10000,10,24,True,OK
2024-05,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2024-06,Azithromycin_500mg,4733,1200,2500,10000,10,23,True,OK
2024-07,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2024-08,Azithromycin_500mg,4774,1200,2500,10000,10,23,True,OK
2024-09,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2024-10,Azithromycin_500mg,4049,1200,2500,10000,10,20,True,OK
2024-11,Azithromycin_500mg,0,1200,2500,10000,10,0,False,CRITICAL
2024-12,Azithromycin_500mg,3333,1200,2500,10000,10,16,True,OK
2022-01,Amlodipine_5mg,3234,2800,5500,22000,7,7,False,REORDER
2022-02,Amlodipine_5mg,9097,2800,5500,22000,7,20,True,OK
2022-03,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2022-04,Amlodipine_5mg,10401,2800,5500,22000,7,23,True,OK
2022-05,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2022-06,Amlodipine_5mg,7218,2800,5500,22000,7,16,True,OK
2022-07,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2022-08,Amlodipine_5mg,6975,2800,5500,22000,7,15,True,OK
2022-09,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2022-10,Amlodipine_5mg,8150,2800,5500,22000,7,18,True,OK
2022-11,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2022-12,Amlodipine_5mg,9480,2800,5500,22000,7,21,True,OK
2023-01,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2023-02,Amlodipine_5mg,9248,2800,5500,22000,7,20,True,OK
2023-03,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2023-04,Amlodipine_5mg,9118,2800,5500,22000,7,20,True,OK
2023-05,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2023-06,Amlodipine_5mg,8769,2800,5500,22000,7,19,True,OK
2023-07,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2023-08,Amlodipine_5mg,6598,2800,5500,22000,7,14,True,OK
2023-09,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2023-10,Amlodipine_5mg,7984,2800,5500,22000,7,17,True,OK
2023-11,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2023-12,Amlodipine_5mg,10277,2800,5500,22000,7,22,True,OK
2024-01,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2024-02,Amlodipine_5mg,7230,2800,5500,22000,7,16,True,OK
2024-03,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2024-04,Amlodipine_5mg,10243,2800,5500,22000,7,22,True,OK
2024-05,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2024-06,Amlodipine_5mg,7429,2800,5500,22000,7,16,True,OK
2024-07,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2024-08,Amlodipine_5mg,8236,2800,5500,22000,7,18,True,OK
2024-09,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2024-10,Amlodipine_5mg,6927,2800,5500,22000,7,15,True,OK
2024-11,Amlodipine_5mg,0,2800,5500,22000,7,0,False,CRITICAL
2024-12,Amlodipine_5mg,7236,2800,5500,22000,7,16,True,OK
2022-01,Cetirizine_10mg,1113,2000,4500,18000,7,3,False,CRITICAL
2022-02,Cetirizine_10mg,7050,2000,4500,18000,7,20,True,OK
2022-03,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2022-04,Cetirizine_10mg,6351,2000,4500,18000,7,18,True,OK
2022-05,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2022-06,Cetirizine_10mg,9000,2000,4500,18000,7,25,True,OK
2022-07,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2022-08,Cetirizine_10mg,6054,2000,4500,18000,7,17,True,OK
2022-09,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2022-10,Cetirizine_10mg,6323,2000,4500,18000,7,18,True,OK
2022-11,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2022-12,Cetirizine_10mg,8699,2000,4500,18000,7,24,True,OK
2023-01,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2023-02,Cetirizine_10mg,8582,2000,4500,18000,7,24,True,OK
2023-03,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2023-04,Cetirizine_10mg,7536,2000,4500,18000,7,21,True,OK
2023-05,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2023-06,Cetirizine_10mg,5967,2000,4500,18000,7,17,True,OK
2023-07,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2023-08,Cetirizine_10mg,7442,2000,4500,18000,7,21,True,OK
2023-09,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2023-10,Cetirizine_10mg,7375,2000,4500,18000,7,21,True,OK
2023-11,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2023-12,Cetirizine_10mg,9047,2000,4500,18000,7,25,True,OK
2024-01,Cetirizine_10mg,116,2000,4500,18000,7,0,False,CRITICAL
2024-02,Cetirizine_10mg,8767,2000,4500,18000,7,25,True,OK
2024-03,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2024-04,Cetirizine_10mg,6854,2000,4500,18000,7,19,True,OK
2024-05,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2024-06,Cetirizine_10mg,6256,2000,4500,18000,7,17,True,OK
2024-07,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2024-08,Cetirizine_10mg,6000,2000,4500,18000,7,17,True,OK
2024-09,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2024-10,Cetirizine_10mg,8218,2000,4500,18000,7,23,True,OK
2024-11,Cetirizine_10mg,0,2000,4500,18000,7,0,False,CRITICAL
2024-12,Cetirizine_10mg,8522,2000,4500,18000,7,24,True,OK
